name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Maruti Swift Dzire VDI,2014,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti
Skoda Rapid 1.5 TDI Ambition,2014,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,Skoda
Honda City 2017-2020 EXi,2006,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,Honda
Hyundai i20 Sportz Diesel,2010,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,Hyundai
Maruti Swift VXI BSIII,2007,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,Maruti
Hyundai Xcent 1.2 VTVT E Plus,2017,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,Hyundai
Maruti Wagon R LXI DUO BSIII,2007,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,Maruti
Maruti 800 DX BSII,2001,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,800
Toyota Etios VXD,2011,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,Toyota
Ford Figo Diesel Celebration Edition,2013,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,Ford
Renault Duster 110PS Diesel RxL,2014,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,Renault
Maruti Zen LX,2005,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,Maruti
Maruti Swift Dzire VDi,2009,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,Maruti
Maruti Swift 1.3 VXi,2007,80000,Petrol,Individual,Manual,Second Owner,,,,,Maruti
Maruti Wagon R LXI Minor,2009,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,Maruti
Mahindra KUV 100 mFALCON G80 K8 5str,2016,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,Mahindra
Maruti Ertiga SHVS VDI,2016,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,Maruti
Hyundai i20 1.4 CRDi Asta,2012,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,Hyundai
Maruti Alto LX,2002,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,Maruti
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,Hyundai
Mahindra Verito 1.5 D4 BSIII,2011,100000,Electric,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,Mahindra
Honda WR-V i-DTEC VX,2017,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,Honda
Maruti Swift Dzire ZDI,2015,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,Maruti
Maruti SX4 ZDI,2012,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,Maruti
Tata Tigor 2017-2020 XZ,2018,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,Tata
Maruti Baleno Delta 1.2,2016,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti
Maruti Alto 800 LXI,2017,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,Chevrolet
Maruti Wagon R LXI Minor,2009,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,Maruti
Maruti Omni E MPI STD BS IV,9,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,Maruti
